Hybridization REF,ACVR2A|92,ADNP2|22850,AFF1|4299,BCOR|54880,BLNK|29760,BTBD11|121551,CNTLN|54875,CSNK1G1|53944,CTCF|10664,CTNNA2|1496,DOCK3|1795,DONSON|29980,DRD5|1816,ESF1|51575,ESRP1|54845,G3BP1|10146,GPAT2|150763,HAS2|3037,JAK1|3716,KCNA4|3739,KCNH7|90134,KRAS|3845,MAGI1|9223,MESDC1|59274,MUM1L1|139221,NCOA3|8202,PAPD5|64282,PCDH9|5101,PIK3CA|5290,POF1B|79983,PTEN|5728,RNF43|54894,RPL22|6146,SIKE1|80143,SOX17|64321,ZBTB20|26137,ZMIZ1|57178,ZNF609|23060,ZNF626|199777,Class
TCGA-EY-A4KR-01A-11R-A27V-07,346.4388,768.4236,1914.5771,477.8620,183.7243,30.8442,162.7145,536.8683,1443.8674,15.6456,67.0527,296.5248,0.0000,342.4156,2361.1479,2960.1517,4.9172,17.8807,2522.0743,0.0000,3.1291,819.3836,286.9854,437.6304,54.9832,1134.5311,434.9483,48.2779,763.9534,41.1256,1545.7875,855.1450,8169.2499,562.7954,1598.5356,2.6821,1204.2659,1010.7072,227.9791,0
TCGA-EY-A547-01A-11R-A27V-07,345.3501,349.5298,567.3981,462.9049,29.7806,1016.7189,301.4629,380.3553,583.5946,531.8704,290.4911,557.4504,0.0000,62.1735,3942.5287,1852.1421,45.9770,16.2487,937.8265,1.0449,1.0449,761.2330,223.6155,247.1264,0.0000,2743.4692,354.2320,7.8370,98.7461,1.0449,2366.7712,215.2560,22644.2006,693.3124,21615.9875,1.0449,960.8150,254.9634,438.8715,2
TCGA-EY-A548-01A-11R-A27V-07,458.6655,505.6651,943.3487,1238.7747,249.6853,841.7961,289.5510,531.6828,1060.4280,542.1737,6.7142,225.5896,0.0000,402.0143,2472.5136,1678.9761,3.7768,7.9731,1803.1893,0.8393,0.4196,826.6890,706.2526,515.7365,3.3571,520.3525,469.1565,1.6786,106.1687,0.4196,758.7075,807.8053,13854.8049,783.8859,12043.6425,2.5178,2536.7184,893.8313,15.9463,2
TCGA-EY-A549-01A-11R-A27V-07,282.2474,796.5739,1380.6465,2141.3276,200.2651,46.0895,234.1185,736.6167,1206.0773,254.9200,13.8676,251.8772,1.2236,428.2655,2849.3933,2127.8678,6.5260,34.8527,875.2932,0.0000,0.8157,928.7244,1186.9073,368.7162,4.4866,1305.5980,768.4307,6.9338,195.3707,6.9338,740.6954,913.2252,8599.1639,898.9497,9708.1676,3.2630,2060.9769,1373.3048,986.6422,2
TCGA-EY-A54A-01A-11R-A27V-07,365.5428,1258.2237,2530.8388,1272.2039,231.4967,158.3059,155.8388,667.7632,1160.7730,197.7796,30.0164,231.3405,1.6447,562.0888,1891.0362,3317.8454,17.6809,28.7829,3235.1974,0.4112,2.4671,1733.1414,178.4539,571.5461,231.9079,1992.1875,590.0493,37.8289,619.2434,706.8257,1905.0164,407.8947,6344.1612,1377.4671,1633.2237,21.7928,2204.3586,1268.0921,21.3816,0
TCGA-EY-A5W2-01A-11R-A31O-07,217.4575,364.6163,1754.1886,741.8864,221.2068,15.9344,114.8213,340.7147,1875.1025,2.8120,18.2777,297.9449,0.0000,174.3409,1241.4763,2257.5278,8.4359,9.6309,308.3773,0.0000,0.4687,480.3749,293.8489,744.6983,31.8688,893.2630,563.7961,0.4687,134.9736,144.3468,981.8395,368.3656,11774.5753,474.7510,6231.7516,4.6866,594.2589,538.0199,6.0926,1
TCGA-FI-A2EY-01A-12R-A18M-07,208.0000,271.0000,459.0000,158.0000,1618.0000,21.0000,21.0000,282.0000,898.0000,2.0000,37.0000,383.7200,0.0000,247.0000,1508.0000,1228.0000,29.0000,0.0000,1049.0000,0.0000,0.0000,607.0000,381.0000,721.0000,1.0000,631.0000,236.0000,3.0000,202.0000,30.0000,1562.0000,209.0000,11802.0000,402.0000,2231.0000,107.0000,1708.0000,797.0000,3.0000,0
TCGA-FI-A3PV-01A-11R-A22K-07,287.3116,349.0520,1745.7462,960.6223,657.2679,79.2416,116.1886,688.8673,1308.7020,760.8167,95.7705,320.3111,0.0000,357.8026,5574.1371,2784.6378,0.9723,0.4861,2474.4774,0.0000,0.4861,768.1089,840.0583,778.3179,26.7380,1701.5070,531.3563,14.0982,427.3213,10.2090,1733.5926,547.8853,10259.1152,979.5819,4824.9878,15.0705,2018.9596,822.5571,758.8721,0
TCGA-FI-A3PX-01A-11R-A22K-07,420.2834,493.3570,1356.5102,572.6306,151.9043,263.0647,712.5775,689.5483,1549.1585,5.7573,406.1116,948.4942,0.0000,556.2445,2864.9247,2449.9557,349.8671,3.5430,1416.2976,0.0000,4.8716,2031.8866,510.1860,411.4260,9.7431,2682.9052,482.2852,1.7715,2116.0319,12.4004,2101.4172,491.5855,4561.1160,1182.4624,5002.2143,7.5288,2635.5182,905.2259,551.3729,0
TCGA-H5-A2HR-01A-11R-A180-07,109.0909,428.2828,365.6566,191.9192,96.9697,22.2222,60.6061,389.8990,711.1111,979.7980,38.3838,277.7980,6.0606,86.8687,2985.8586,2044.4444,1672.7273,14.1414,939.3939,4.0404,0.0000,503.0303,153.5354,434.3434,16.1616,478.7879,183.8384,16.1616,96.9697,12.1212,965.6566,404.0404,21860.6061,937.3737,4927.2727,0.0000,937.3737,406.0606,129.2929,0
TCGA-K6-A3WQ-01A-11R-A22K-07,515.3671,253.3888,1963.7633,578.7143,301.7045,307.0729,99.3155,302.7782,1231.5125,1016.2394,110.0523,210.5060,0.5368,531.4723,2955.8449,3920.5476,10.2000,4.8316,1053.2814,3.7579,9.6631,1279.2914,339.2833,340.3570,214.1994,1568.1117,430.5462,91.7998,332.8412,125.6207,1418.8700,687.1561,9843.5109,1499.9329,1119.3128,7.5158,2933.2975,436.9883,10.2000,0
TCGA-KP-A3VZ-01A-11R-A22K-07,427.2527,386.3736,821.5385,1210.5495,181.5385,71.2088,607.9121,494.0659,1109.0110,152.9670,371.4286,435.9121,3.0769,602.1978,2563.0769,3294.9451,50.9890,19.2176,1643.0769,1.3187,0.0000,1522.6374,665.9341,551.6484,105.9341,851.8681,139.3407,70.7692,1064.1758,42.6374,1358.2418,1910.3297,7334.9451,1232.0879,4471.6484,5.7143,4091.8681,422.4176,228.5714,0
TCGA-KP-A3W0-01A-21R-A22K-07,404.5440,471.1591,576.1553,1288.1879,164.1116,18.9699,135.4362,363.0749,1265.6888,128.3776,83.3793,348.4548,3.5293,439.8368,3855.7406,4067.9387,324.6939,16.7641,3034.3002,2.6470,0.0000,826.2932,364.8395,404.5440,127.0542,1216.7200,623.3594,2.6470,941.4360,83.3793,1758.4648,510.8636,16955.1119,829.8224,7410.1687,3.5293,4284.9895,672.7694,74.5561,0
TCGA-KP-A3W1-01A-11R-A22K-07,92.9394,257.2898,1424.5452,723.0368,455.7704,28.3544,47.2573,440.0180,945.6712,32.0300,21.0032,296.4818,0.0000,520.8805,2955.6818,1657.1561,10.5016,4.7257,3739.1029,0.0000,0.5251,569.7131,239.4370,1485.9797,22.0534,3133.1593,341.8278,0.5251,248.3634,57.2338,1233.9407,89.7889,5010.3244,640.0739,874.7852,8.4013,2384.3935,702.0335,20.4782,0
TCGA-KP-A3W3-01A-11R-A22K-07,393.2530,659.7590,2187.4699,843.3735,123.3735,174.4578,136.3855,488.1928,1215.9036,107.4699,23.1325,465.2675,26.9880,533.9759,2136.3855,2656.8675,16.8675,61.2096,2057.8313,0.9639,0.0000,809.1566,166.7470,524.8193,80.9639,1704.0964,451.0843,0.4819,418.3133,1.4458,2548.9157,315.6627,6485.3012,1754.6988,6184.5783,1.4458,1612.5301,668.9157,584.5783,0
TCGA-KP-A3W4-01A-11R-A22K-07,414.4301,595.6779,2023.0045,840.7110,174.6253,399.4423,252.7013,1105.6117,1115.3712,120.2510,180.5507,332.1994,0.3486,429.4179,3320.6692,3434.9948,6.6225,17.4277,3189.9617,4.5312,2.0913,1047.7518,331.4744,759.4981,389.3343,1440.2231,402.5793,99.6863,343.6738,155.8034,2081.9101,615.8940,5025.7930,1138.3757,5035.9010,11.5023,2769.9547,1321.3663,160.3346,0
TCGA-PG-A5BC-01A-12R-A27V-07,631.0682,642.4841,1250.2640,1291.3611,262.1079,290.4192,237.9063,449.7845,1000.9418,212.3348,38.3573,241.3996,1.8265,429.6926,3048.9455,5256.7710,23.2883,19.9595,2701.4470,5.9362,0.0000,1643.4259,656.6397,574.9023,456.6340,913.2681,501.8408,69.8650,907.3318,740.6604,2433.4028,706.8695,12242.3585,844.3163,2657.1535,10.5026,3169.0402,814.6351,359.8276,0
TCGA-PG-A6IB-01A-21R-A31O-07,80.6384,618.2275,563.1018,484.2858,45.1028,22.7792,244.1930,467.4292,1310.7151,3.6447,18.2234,637.2618,0.0000,300.6854,10.9340,2517.1015,10.4784,13.2119,1343.9727,0.0000,23.2348,678.3645,168.5661,765.3811,11.8452,1060.1439,538.5003,7.2893,89.2945,71.0711,853.3088,11.3896,9675.6925,491.1195,136.2196,5.4670,766.7478,718.9115,14.5787,1
TCGA-QF-A5YS-01A-11R-A31O-07,264.7956,436.3805,825.3494,548.9428,229.6400,115.4651,276.7291,433.8003,1003.3849,875.3413,24.5121,527.2722,0.0000,225.4471,1842.6031,2159.3257,5.4830,5.8055,1704.2385,0.0000,1.2901,422.5118,327.3660,707.9492,7.4181,482.8246,286.7275,5.8055,170.6174,55.7974,1475.2435,1261.0849,10387.9852,539.5895,14233.1652,4.5154,926.9458,468.9559,331.5589,0
TCGA-QF-A5YT-01A-11R-A31O-07,236.8115,454.4090,1169.1665,461.1339,85.9823,307.4226,153.7113,329.9989,894.4076,312.2261,7.6856,252.5621,0.0000,230.0866,1830.6054,2370.9966,5.7642,11.5283,1786.8937,1.9214,0.0000,591.7885,210.3923,700.3471,27.8602,409.7366,265.1520,1.9214,118.1656,4.3231,1112.4854,1910.8234,14620.8255,516.8542,8967.1322,1.9214,1090.3894,705.1505,11.5283,1
TCGA-QS-A5YQ-01A-11R-A31O-07,238.1766,447.2934,805.6980,585.7550,230.1994,394.3020,194.8718,495.7265,1105.4131,1991.4530,16.5242,166.9801,0.0000,164.1026,1548.7179,1679.2023,24.5014,11.9658,1192.0228,0.0000,0.0000,491.1681,645.5840,421.0826,3.4188,464.9573,499.7151,4.5584,87.7493,2.2792,1240.4558,890.5983,17336.1823,464.9573,14271.2251,3.9886,1112.2507,761.8234,694.5869,2
TCGA-QS-A5YR-01A-31R-A31O-07,198.6619,354.6063,819.8662,458.0546,293.3608,502.8307,144.1071,532.6814,1128.6670,884.1997,13.8960,257.6634,0.0000,187.8538,1345.8569,1834.7916,28.8214,5.6613,1772.0021,0.0000,0.5147,482.2440,277.4061,597.5296,43.7468,670.6125,401.9557,2.5733,99.8456,24.1894,1305.7128,130.7257,10601.1323,386.5157,8961.9146,4.6320,1256.3047,638.7030,431.8065,2
TCGA-SL-A6J9-01A-11R-A31O-07,269.4464,413.4548,638.7526,709.5305,141.2053,19.9720,156.9727,387.8767,963.2095,19.2712,17.5193,458.0904,0.3504,266.9937,1682.2004,2415.5571,6.6573,1.4015,1544.8493,0.0000,0.0000,569.0259,92.1514,832.5158,7.0077,638.4022,212.3336,3.8542,429.2221,5.6062,1395.2348,883.3217,10477.2249,776.4541,4902.9432,3.8542,1310.7919,522.7751,160.8269,0
TCGA-SL-A6JA-01A-11R-A31O-07,335.7136,411.6209,1821.7744,918.7127,296.9774,87.2542,29.7369,344.3216,754.3774,13.3033,23.4765,280.3639,0.0000,202.2890,1596.0090,1491.9300,5.4778,3.9127,237.1124,0.3913,1.9564,639.3427,658.1238,536.0462,80.6026,1947.7648,173.7259,7.4342,208.1581,608.0407,1448.4985,475.7899,8742.2479,640.5165,7230.7542,13.6946,482.0503,677.2963,285.2392,2
